die	-	Leute	gente
die	-	Kosten	costo
die	-	Pommes frites	papas a la francesa
der	Abend	Abende	tarde, noche
das	Abendessen	Abendessen	cena
die	Adresse	Adressen	domicilio
die	Anmeldung	Anmeldungen	registro, inscripción
die	Anrede	Anreden	tratamiento
die	Antwort	Antworten	respuesta
der	Apfel	Äpfel	manzana
der	April	-	abril
der	Arzt	Ärzte	doctor
die	Ärztin	Ärztinnen	doctora
der	August	-	agosto
die	Ausstellung	Austellungen	exhibición, exposición
das	Auto	Autos	auto, coche, carro
die	Autobahn	Autobahnen	autopista
die	Bäckerei	Backereien	panadería
der	Bahnhof	Bahnhöfe	estación de trenes
die	Banane	Bananen	plátano
die	Bank	Bänke	banco
der	Becher	Becher	taza
das	Beispiel	Beispiele	ejemplo
der	Beruf	Berufe	profesión
die	Bestellung	Bestellungen	pedido
der	Besucher	Besucher	visitante
die	Besucherin	Besucherinnen	visitante (fem.)
der	Betreff	Betreffe	asunto, tema
die	Bibliothek	Bibliotheken	biblioteca
der	Biergarten	Biergärten	cervecería al aire libre
das	Bild	Bilder	imagen
die	Birne	Birnen	pera
das	Brot	Brote	pan
das	Brötchen	Brötchen	panecillo
die	Brücke	Brücken	puente
das	Buch	Bücher	libro
der	Bus	Busse	autobús
die	Butter	-	mantequilla
das	Café	Cafés	café
der	Chor	Chöre	coro
die	Cola	Colas	cola
der	Computer	Computer	computadora
das	Datum	-	fecha
der	Dezember	-	diciembre
die	Dose	Dosen	lata
der	Durst	-	sed
das	Ei	Eier	huevo
der	Einkaufswagen	Einkaufswagen	carrito de compras
die	Einladung	Einladungen	invitación
der	Eintritt	Eintritte	entrada, ingreso, comienzo
das	Eis	-	nieve
das	Essen	Essen	comida
der	Essig	Essige	vinagre
der	Euro	Euros	euro
das	Event	Events	evento
die	Fahrkarte	Fahrkarten	boleto de transporte
das	Fahrrad	Fährrader	bicicleta
die	Familie	Familien	familia
der	Familienname	Familiennamen	apellido
der	Februar	-	febrero
das	Fest	Feste	firmamento, castillo
das	Festival	Festivals	festival
der	Film	Filme	película
die	Firma	Firmen	compañía, empresa
der	Fisch	Fische	pescado
die	Flasche	Flaschen	botella
das	Fleisch	-	carne
das	Flugzeug	Flugzeuge	avión
der	Fluss	Flüsse	río
das	Formular	Formulare	formulario
das	Foto	Fotos	foto
der	Freund	Freunde	amigo
die	Freundin	Freundinnen	amiga
der	Friseur	Friseure	barbero
der	Frühling	Frühlinge	primavera
das	Frühstuck	Frühstucke	desayuno
der	Fußball	-	fútbol
die	Gabel	Gabeln	tenedor
der	Gast	Gäste	huesped, invitado
das	Geburstdatum	Geburstdaten	fecha de nacimiento
der	Geburstort	Geburstorte	lugar de nacimiento
der	Geburtstag	Geburtage	cumpleaños
das	Geld	-	dinero
das	Gemüse	-	verdura
das	Gericht	Gerichte	corte, platillo
